"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PD HD neighborhood cost"
"12/19/2014 22:06:34:325 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""] / count patches"
"78","""PD""","0.08","0.5","1","0","""von neumann_r=1""","true","500","0.5252"
"82","""PD""","0.09","0.5","1","0","""moore_r=1""","true","500","0.488"
"83","""PD""","0.09","0.5","1","0","""moore_r=1""","true","500","0.5044"
"84","""PD""","0.09","0.5","1","0","""moore_r=1""","true","500","0.5056"
"85","""PD""","0.09","0.5","1","0","""von neumann_r=1""","true","500","0.5048"
"86","""PD""","0.09","0.5","1","0","""von neumann_r=1""","true","500","0.5172"
"87","""PD""","0.09","0.5","1","0","""von neumann_r=1""","true","500","0.5208"
"80","""PD""","0.08","0.5","1","0","""moore_r=3""","true","500","0.4868"
"81","""PD""","0.08","0.5","1","0","""moore_r=3""","true","500","0.5112"
"79","""PD""","0.08","0.5","1","0","""moore_r=3""","true","500","0.5184"
"91","""PD""","0.1","0.5","1","0","""moore_r=1""","true","500","0.4936"
"92","""PD""","0.1","0.5","1","0","""moore_r=1""","true","500","0.4892"
"93","""PD""","0.1","0.5","1","0","""moore_r=1""","true","500","0.5084"
"94","""PD""","0.1","0.5","1","0","""von neumann_r=1""","true","500","0.5048"
"95","""PD""","0.1","0.5","1","0","""von neumann_r=1""","true","500","0.506"
"88","""PD""","0.09","0.5","1","0","""moore_r=3""","true","500","0.5"
"96","""PD""","0.1","0.5","1","0","""von neumann_r=1""","true","500","0.5232"
"89","""PD""","0.09","0.5","1","0","""moore_r=3""","true","500","0.4944"
"90","""PD""","0.09","0.5","1","0","""moore_r=3""","true","500","0.5064"
"100","""PD""","0.11","0.5","1","0","""moore_r=1""","true","500","0.4928"
"101","""PD""","0.11","0.5","1","0","""moore_r=1""","true","500","0.5152"
"102","""PD""","0.11","0.5","1","0","""moore_r=1""","true","500","0.5116"
"103","""PD""","0.11","0.5","1","0","""von neumann_r=1""","true","500","0.5168"
"104","""PD""","0.11","0.5","1","0","""von neumann_r=1""","true","500","0.492"
"105","""PD""","0.11","0.5","1","0","""von neumann_r=1""","true","500","0.508"
"97","""PD""","0.1","0.5","1","0","""moore_r=3""","true","500","0.498"
"98","""PD""","0.1","0.5","1","0","""moore_r=3""","true","500","0.5032"
"99","""PD""","0.1","0.5","1","0","""moore_r=3""","true","500","0.4948"
"109","""PD""","0.12","0.5","1","0","""moore_r=1""","true","500","0.486"
"110","""PD""","0.12","0.5","1","0","""moore_r=1""","true","500","0.514"
"111","""PD""","0.12","0.5","1","0","""moore_r=1""","true","500","0.5012"
"112","""PD""","0.12","0.5","1","0","""von neumann_r=1""","true","500","0.4996"
"113","""PD""","0.12","0.5","1","0","""von neumann_r=1""","true","500","0.4964"
"114","""PD""","0.12","0.5","1","0","""von neumann_r=1""","true","500","0.5032"
"106","""PD""","0.11","0.5","1","0","""moore_r=3""","true","500","0.4984"
"107","""PD""","0.11","0.5","1","0","""moore_r=3""","true","500","0.4888"
"108","""PD""","0.11","0.5","1","0","""moore_r=3""","true","500","0.5064"
"118","""PD""","0.13","0.5","1","0","""moore_r=1""","true","500","0.5064"
"119","""PD""","0.13","0.5","1","0","""moore_r=1""","true","500","0.5044"
"120","""PD""","0.13","0.5","1","0","""moore_r=1""","true","500","0.5088"
"121","""PD""","0.13","0.5","1","0","""von neumann_r=1""","true","500","0.5108"
"115","""PD""","0.12","0.5","1","0","""moore_r=3""","true","500","0.512"
"116","""PD""","0.12","0.5","1","0","""moore_r=3""","true","500","0.4836"
"122","""PD""","0.13","0.5","1","0","""von neumann_r=1""","true","500","0.524"
"123","""PD""","0.13","0.5","1","0","""von neumann_r=1""","true","500","0.5032"
"117","""PD""","0.12","0.5","1","0","""moore_r=3""","true","500","0.502"
"127","""PD""","0.14","0.5","1","0","""moore_r=1""","true","500","0.4784"
"128","""PD""","0.14","0.5","1","0","""moore_r=1""","true","500","0.5016"
"129","""PD""","0.14","0.5","1","0","""moore_r=1""","true","500","0.494"
"130","""PD""","0.14","0.5","1","0","""von neumann_r=1""","true","500","0.5008"
"131","""PD""","0.14","0.5","1","0","""von neumann_r=1""","true","500","0.4976"
"132","""PD""","0.14","0.5","1","0","""von neumann_r=1""","true","500","0.5196"
"124","""PD""","0.13","0.5","1","0","""moore_r=3""","true","500","0.5068"
"125","""PD""","0.13","0.5","1","0","""moore_r=3""","true","500","0.4912"
"126","""PD""","0.13","0.5","1","0","""moore_r=3""","true","500","0.5056"
"136","""PD""","0.15","0.5","1","0","""moore_r=1""","true","500","0.5028"
"137","""PD""","0.15","0.5","1","0","""moore_r=1""","true","500","0.4956"
"138","""PD""","0.15","0.5","1","0","""moore_r=1""","true","500","0.4928"
"139","""PD""","0.15","0.5","1","0","""von neumann_r=1""","true","500","0.5256"
"140","""PD""","0.15","0.5","1","0","""von neumann_r=1""","true","500","0.522"
"141","""PD""","0.15","0.5","1","0","""von neumann_r=1""","true","500","0.5156"
"133","""PD""","0.14","0.5","1","0","""moore_r=3""","true","500","0.5112"
"134","""PD""","0.14","0.5","1","0","""moore_r=3""","true","500","0.4932"
"135","""PD""","0.14","0.5","1","0","""moore_r=3""","true","500","0.4904"
"145","""PD""","0.16","0.5","1","0","""moore_r=1""","true","500","0.5056"
"146","""PD""","0.16","0.5","1","0","""moore_r=1""","true","500","0.5008"
"147","""PD""","0.16","0.5","1","0","""moore_r=1""","true","500","0.5208"
"148","""PD""","0.16","0.5","1","0","""von neumann_r=1""","true","500","0.5364"
"142","""PD""","0.15","0.5","1","0","""moore_r=3""","true","500","0.506"
"149","""PD""","0.16","0.5","1","0","""von neumann_r=1""","true","500","0.524"
"143","""PD""","0.15","0.5","1","0","""moore_r=3""","true","500","0.4972"
"150","""PD""","0.16","0.5","1","0","""von neumann_r=1""","true","500","0.5224"
"144","""PD""","0.15","0.5","1","0","""moore_r=3""","true","500","0.4984"
"154","""PD""","0.17","0.5","1","0","""moore_r=1""","true","500","0.5064"
"155","""PD""","0.17","0.5","1","0","""moore_r=1""","true","500","0.4872"
"156","""PD""","0.17","0.5","1","0","""moore_r=1""","true","500","0.502"
"157","""PD""","0.17","0.5","1","0","""von neumann_r=1""","true","500","0.4924"
"158","""PD""","0.17","0.5","1","0","""von neumann_r=1""","true","500","0.5184"
