"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PD HD neighborhood cost"
"12/17/2014 23:21:36:759 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""]"
"80","""PD""","0.12","0.01","1","0","""von neumann_r=1""","true","1000","52"
"79","""PD""","0.12","0.01","1","0","""von neumann_r=1""","true","1000","32"
"83","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","1095"
"81","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","850"
"82","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","1084"
"84","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","415"
"85","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","636"
"86","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","1181"
"88","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","902"
"87","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","1064"
"91","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","1363"
"92","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","1447"
"93","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","1357"
"94","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","1266"
"95","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","1295"
"96","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","1419"
"97","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","1533"
"98","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","1334"
"99","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","1427"
"100","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","1379"
"101","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","1000","1"
"102","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","1000","19"
"103","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","1000","19"
"104","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","1000","31"
"89","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","1136"
"105","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","999","0"
"106","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","1000","18"
"107","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","943","0"
"90","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","866"
"108","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","855","0"
"109","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","1000","23"
"110","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","1000","23"
"112","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","969"
"114","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","534"
"111","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","574"
"113","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","702"
"116","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","467"
"115","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","571"
"117","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","758"
"118","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","645"
"121","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","1002"
"122","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","981"
"124","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","979"
"123","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","872"
"125","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","1150"
"126","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","1065"
"127","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","997"
"129","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","1123"
"128","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","898"
