"BehaviorSpace results (NetLogo 5.1.0)"
"neighborstask2.nlogo"
"PD HD neighborhood cost"
"12/16/2014 22:04:14:851 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""]"
"82","""HD""","0.1","0.01","1","0","""moore_r=1""","true","1000","2496"
"85","""HD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","2499"
"84","""HD""","0.1","0.01","1","0","""moore_r=1""","true","1000","2488"
"83","""HD""","0.1","0.01","1","0","""moore_r=1""","true","1000","2483"
"86","""HD""","0.1","0.01","1","0","""von neumann_r=1""","true","825","2500"
"87","""HD""","0.1","0.01","1","0","""von neumann_r=1""","true","934","2500"
"91","""HD""","0.2","0.01","1","0","""moore_r=1""","true","1000","2452"
"92","""HD""","0.2","0.01","1","0","""moore_r=1""","true","1000","2440"
"93","""HD""","0.2","0.01","1","0","""moore_r=1""","true","1000","2451"
"94","""HD""","0.2","0.01","1","0","""von neumann_r=1""","true","1000","2498"
"95","""HD""","0.2","0.01","1","0","""von neumann_r=1""","true","890","2500"
"96","""HD""","0.2","0.01","1","0","""von neumann_r=1""","true","598","2500"
"88","""HD""","0.1","0.01","1","0","""moore_r=3""","true","1000","2345"
"89","""HD""","0.1","0.01","1","0","""moore_r=3""","true","1000","2297"
"90","""HD""","0.1","0.01","1","0","""moore_r=3""","true","1000","2319"
"100","""HD""","0.3","0.01","1","0","""moore_r=1""","true","1000","1869"
"101","""HD""","0.3","0.01","1","0","""moore_r=1""","true","1000","1866"
"102","""HD""","0.3","0.01","1","0","""moore_r=1""","true","1000","1880"
"103","""HD""","0.3","0.01","1","0","""von neumann_r=1""","true","1000","2470"
"104","""HD""","0.3","0.01","1","0","""von neumann_r=1""","true","1000","2473"
"97","""HD""","0.2","0.01","1","0","""moore_r=3""","true","1000","2106"
"105","""HD""","0.3","0.01","1","0","""von neumann_r=1""","true","1000","2472"
"98","""HD""","0.2","0.01","1","0","""moore_r=3""","true","1000","2106"
"99","""HD""","0.2","0.01","1","0","""moore_r=3""","true","1000","2098"
"109","""HD""","0.4","0.01","1","0","""moore_r=1""","true","1000","1630"
"110","""HD""","0.4","0.01","1","0","""moore_r=1""","true","1000","1620"
"111","""HD""","0.4","0.01","1","0","""moore_r=1""","true","1000","1674"
"106","""HD""","0.3","0.01","1","0","""moore_r=3""","true","1000","1917"
"112","""HD""","0.4","0.01","1","0","""von neumann_r=1""","true","1000","2174"
"113","""HD""","0.4","0.01","1","0","""von neumann_r=1""","true","1000","2398"
"107","""HD""","0.3","0.01","1","0","""moore_r=3""","true","1000","1917"
"114","""HD""","0.4","0.01","1","0","""von neumann_r=1""","true","1000","1961"
"108","""HD""","0.3","0.01","1","0","""moore_r=3""","true","1000","1924"
"118","""HD""","0.5","0.01","1","0","""moore_r=1""","true","1000","1358"
"119","""HD""","0.5","0.01","1","0","""moore_r=1""","true","1000","1333"
"120","""HD""","0.5","0.01","1","0","""moore_r=1""","true","1000","1346"
"121","""HD""","0.5","0.01","1","0","""von neumann_r=1""","true","1000","1436"
"122","""HD""","0.5","0.01","1","0","""von neumann_r=1""","true","1000","1445"
"123","""HD""","0.5","0.01","1","0","""von neumann_r=1""","true","1000","1417"
"115","""HD""","0.4","0.01","1","0","""moore_r=3""","true","1000","1724"
"116","""HD""","0.4","0.01","1","0","""moore_r=3""","true","1000","1725"
"117","""HD""","0.4","0.01","1","0","""moore_r=3""","true","1000","1721"
"127","""HD""","0.6","0.01","1","0","""moore_r=1""","true","1000","1083"
"128","""HD""","0.6","0.01","1","0","""moore_r=1""","true","1000","1102"
"129","""HD""","0.6","0.01","1","0","""moore_r=1""","true","1000","1082"
"130","""HD""","0.6","0.01","1","0","""von neumann_r=1""","true","1000","1116"
"131","""HD""","0.6","0.01","1","0","""von neumann_r=1""","true","1000","1111"
"124","""HD""","0.5","0.01","1","0","""moore_r=3""","true","1000","1512"
"132","""HD""","0.6","0.01","1","0","""von neumann_r=1""","true","1000","1123"
