"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PDneighborhood"
"12/20/2014 16:08:58:976 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""] / count patches"
"78","""PD""","0.08","0.01","1","0","""von neumann_r=1""","true","1000","0.116"
"71","""PD""","0.07","0.01","1","0","""moore_r=3""","true","1000","0.8224"
"72","""PD""","0.07","0.01","1","0","""moore_r=3""","true","1000","0.8312"
"82","""PD""","0.09","0.01","1","0","""moore_r=1""","true","1000","0.7548"
"83","""PD""","0.09","0.01","1","0","""moore_r=1""","true","1000","0.7736"
"84","""PD""","0.09","0.01","1","0","""moore_r=1""","true","1000","0.7576"
"85","""PD""","0.09","0.01","1","0","""von neumann_r=1""","true","1000","0.0696"
"86","""PD""","0.09","0.01","1","0","""von neumann_r=1""","true","1000","0.092"
"87","""PD""","0.09","0.01","1","0","""von neumann_r=1""","true","1000","0.0528"
"79","""PD""","0.08","0.01","1","0","""moore_r=3""","true","1000","0.7828"
"80","""PD""","0.08","0.01","1","0","""moore_r=3""","true","1000","0.8632"
"81","""PD""","0.08","0.01","1","0","""moore_r=3""","true","1000","0.7608"
"91","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","0.686"
"92","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","0.7236"
"93","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","0.6768"
"94","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","0.04"
"88","""PD""","0.09","0.01","1","0","""moore_r=3""","true","1000","0.7304"
"95","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","0.0404"
"96","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","0.0192"
"89","""PD""","0.09","0.01","1","0","""moore_r=3""","true","1000","0.624"
"90","""PD""","0.09","0.01","1","0","""moore_r=3""","true","1000","0.7112"
"100","""PD""","0.11","0.01","1","0","""moore_r=1""","true","1000","0.6488"
"101","""PD""","0.11","0.01","1","0","""moore_r=1""","true","1000","0.6392"
"102","""PD""","0.11","0.01","1","0","""moore_r=1""","true","1000","0.666"
"103","""PD""","0.11","0.01","1","0","""von neumann_r=1""","true","1000","0.0188"
"104","""PD""","0.11","0.01","1","0","""von neumann_r=1""","true","1000","0.0060"
"105","""PD""","0.11","0.01","1","0","""von neumann_r=1""","true","1000","0.0080"
"97","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","0.7004"
"98","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","0.6808"
"99","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","0.696"
"109","""PD""","0.12","0.01","1","0","""moore_r=1""","true","1000","0.6304"
"110","""PD""","0.12","0.01","1","0","""moore_r=1""","true","1000","0.6088"
"111","""PD""","0.12","0.01","1","0","""moore_r=1""","true","1000","0.5988"
"112","""PD""","0.12","0.01","1","0","""von neumann_r=1""","true","1000","0.018"
"113","""PD""","0.12","0.01","1","0","""von neumann_r=1""","true","1000","0.018"
"114","""PD""","0.12","0.01","1","0","""von neumann_r=1""","true","773","0"
"106","""PD""","0.11","0.01","1","0","""moore_r=3""","true","1000","0.624"
"107","""PD""","0.11","0.01","1","0","""moore_r=3""","true","1000","0.6768"
"108","""PD""","0.11","0.01","1","0","""moore_r=3""","true","1000","0.6524"
"118","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","0.5012"
"119","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","0.554"
"120","""PD""","0.13","0.01","1","0","""moore_r=1""","true","1000","0.5064"
"121","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","1000","0.0028"
"122","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","983","0"
"115","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","0.456"
"123","""PD""","0.13","0.01","1","0","""von neumann_r=1""","true","1000","0.0092"
"116","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","0.3688"
"117","""PD""","0.12","0.01","1","0","""moore_r=3""","true","1000","0.3172"
"127","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","0.3592"
"128","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","0.3304"
"129","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","0.402"
"130","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","832","0"
"124","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","0.2796"
"125","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","0.2148"
"132","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","1000","4.0E-4"
"131","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","823","0"
"126","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","0.08"
"136","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","0.2008"
"137","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","0.2084"
"138","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","0.2672"
"139","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","741","0"
"140","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","923","0"
"141","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","907","0"
"133","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","0.0384"
"134","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","0.1616"
"135","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","0.1872"
"145","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","0.0768"
"146","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","0.1096"
"147","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","0.1032"
"148","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","952","0"
"149","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","884","0"
"142","""PD""","0.15","0.01","1","0","""moore_r=3""","true","1000","0.0468"
"150","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","1000","0.0064"
"144","""PD""","0.15","0.01","1","0","""moore_r=3""","true","835","0"
"143","""PD""","0.15","0.01","1","0","""moore_r=3""","true","1000","0.0612"
"154","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","0.018"
"155","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","0.1564"
"156","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","0.0452"
"152","""PD""","0.16","0.01","1","0","""moore_r=3""","true","529","0"
"157","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","884","0"
"158","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","701","0"
"159","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","976","0"
"151","""PD""","0.16","0.01","1","0","""moore_r=3""","true","733","0"
"153","""PD""","0.16","0.01","1","0","""moore_r=3""","true","968","0"
"163","""PD""","0.18","0.01","1","0","""moore_r=1""","true","851","0"
"160","""PD""","0.17","0.01","1","0","""moore_r=3""","true","479","0"
"164","""PD""","0.18","0.01","1","0","""moore_r=1""","true","1000","0.0080"
"166","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","684","0"
"165","""PD""","0.18","0.01","1","0","""moore_r=1""","true","964","0"
"161","""PD""","0.17","0.01","1","0","""moore_r=3""","true","579","0"
"167","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","813","0"
"168","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","648","0"
"162","""PD""","0.17","0.01","1","0","""moore_r=3""","true","781","0"
"172","""PD""","0.19","0.01","1","0","""moore_r=1""","true","1000","0.0080"
"173","""PD""","0.19","0.01","1","0","""moore_r=1""","true","776","0"
"174","""PD""","0.19","0.01","1","0","""moore_r=1""","true","790","0"
"169","""PD""","0.18","0.01","1","0","""moore_r=3""","true","559","0"
"170","""PD""","0.18","0.01","1","0","""moore_r=3""","true","537","0"
"175","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","745","0"
"177","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","752","0"
"176","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","890","0"
"171","""PD""","0.18","0.01","1","0","""moore_r=3""","true","652","0"
"181","""PD""","0.2","0.01","1","0","""moore_r=1""","true","733","0"
"182","""PD""","0.2","0.01","1","0","""moore_r=1""","true","714","0"
"178","""PD""","0.19","0.01","1","0","""moore_r=3""","true","363","0"
"179","""PD""","0.19","0.01","1","0","""moore_r=3""","true","341","0"
"184","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","677","0"
"185","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","587","0"
"183","""PD""","0.2","0.01","1","0","""moore_r=1""","true","813","0"
"186","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","569","0"
"180","""PD""","0.19","0.01","1","0","""moore_r=3""","true","446","0"
"190","""PD""","0.21","0.01","1","0","""moore_r=1""","true","569","0"
"191","""PD""","0.21","0.01","1","0","""moore_r=1""","true","633","0"
"187","""PD""","0.2","0.01","1","0","""moore_r=3""","true","260","0"
"192","""PD""","0.21","0.01","1","0","""moore_r=1""","true","688","0"
"193","""PD""","0.21","0.01","1","0","""von neumann_r=1""","true","818","0"
"188","""PD""","0.2","0.01","1","0","""moore_r=3""","true","328","0"
"194","""PD""","0.21","0.01","1","0","""von neumann_r=1""","true","1000","0.0028"
"195","""PD""","0.21","0.01","1","0","""von neumann_r=1""","true","729","0"
"189","""PD""","0.2","0.01","1","0","""moore_r=3""","true","408","0"
