"BehaviorSpace results (NetLogo 5.0.5)"
"extended_pd_mixed_strategy.nlogo"
"experiment_stable_coexistence_mixed_variation_of_costs"
"12/15/2014 13:43:12:862 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","[step]","count patches with [strategy_current = ""C""] / (count patches)"
"116","1","0.6","false","0.02","0","false","500","0.2792"
"117","1","0.6","false","0.02","0","false","500","0.2608"
"118","1","0.6","false","0.02","0","false","500","0.2784"
"119","1","0.6","false","0.02","0","false","500","0.2776"
"121","1","0.6","false","0.02","0","false","500","0.2672"
"120","1","0.6","false","0.02","0","false","500","0.2736"
"122","1","0.6","false","0.02","0","false","500","0.2812"
"123","1","0.6","false","0.02","0","false","500","0.284"
"124","1","0.6","false","0.02","0","false","500","0.264"
"125","1","0.6","false","0.02","0","false","500","0.2908"
"126","1","0.6","false","0.02","0","false","500","0.2716"
"127","1","0.6","false","0.02","0","false","500","0.2684"
"128","1","0.6","false","0.02","0","false","500","0.266"
"129","1","0.6","false","0.02","0","false","500","0.2808"
"130","1","0.6","false","0.02","0","false","500","0.2708"
"131","1","0.6","false","0.02","0","false","500","0.2828"
"132","1","0.6","false","0.02","0","false","500","0.2668"
"133","1","0.6","false","0.02","0","false","500","0.282"
"134","1","0.6","false","0.02","0","false","500","0.2788"
"135","1","0.6","false","0.02","0","false","500","0.2728"
"136","1","0.6","false","0.02","0","false","500","0.2668"
"138","1","0.6","false","0.02","0","false","500","0.27"
"137","1","0.6","false","0.02","0","false","500","0.2692"
"139","1","0.6","false","0.02","0","false","500","0.2832"
"140","1","0.6","false","0.02","0","false","500","0.29"
"141","1","0.6","false","0.02","0","false","500","0.2812"
"142","1","0.6","false","0.02","0","false","500","0.2844"
"143","1","0.6","false","0.02","0","false","500","0.2668"
"144","1","0.6","false","0.02","0","false","500","0.28"
"145","1","0.6","false","0.02","0","false","500","0.2808"
"146","1","0.6","false","0.02","0","false","500","0.2848"
"147","1","0.6","false","0.02","0","false","500","0.2724"
"148","1","0.6","false","0.02","0","false","500","0.282"
"149","1","0.6","false","0.02","0","false","500","0.2636"
"150","1","0.6","false","0.02","0","false","500","0.278"
"151","1","0.6","false","0.03","0","false","500","0.2888"
"152","1","0.6","false","0.03","0","false","500","0.2748"
"153","1","0.6","false","0.03","0","false","500","0.2664"
"155","1","0.6","false","0.03","0","false","500","0.2624"
"154","1","0.6","false","0.03","0","false","500","0.2916"
"156","1","0.6","false","0.03","0","false","500","0.2676"
"157","1","0.6","false","0.03","0","false","500","0.2676"
"158","1","0.6","false","0.03","0","false","500","0.2544"
"159","1","0.6","false","0.03","0","false","500","0.282"
"160","1","0.6","false","0.03","0","false","500","0.2796"
"161","1","0.6","false","0.03","0","false","500","0.2568"
"162","1","0.6","false","0.03","0","false","500","0.2892"
"163","1","0.6","false","0.03","0","false","500","0.2808"
"164","1","0.6","false","0.03","0","false","500","0.2704"
"165","1","0.6","false","0.03","0","false","500","0.2708"
"166","1","0.6","false","0.03","0","false","500","0.2804"
"167","1","0.6","false","0.03","0","false","500","0.2848"
"168","1","0.6","false","0.03","0","false","500","0.2816"
"169","1","0.6","false","0.03","0","false","500","0.2708"
"170","1","0.6","false","0.03","0","false","500","0.2752"
"171","1","0.6","false","0.03","0","false","500","0.2696"
"172","1","0.6","false","0.03","0","false","500","0.2584"
"174","1","0.6","false","0.03","0","false","500","0.2764"
"173","1","0.6","false","0.03","0","false","500","0.274"
"175","1","0.6","false","0.03","0","false","500","0.2872"
"176","1","0.6","false","0.03","0","false","500","0.2704"
"177","1","0.6","false","0.03","0","false","500","0.2712"
"178","1","0.6","false","0.03","0","false","500","0.2972"
"179","1","0.6","false","0.03","0","false","500","0.2808"
"180","1","0.6","false","0.03","0","false","500","0.2672"
"181","1","0.6","false","0.03","0","false","500","0.2716"
"182","1","0.6","false","0.03","0","false","500","0.2852"
"183","1","0.6","false","0.03","0","false","500","0.2796"
"184","1","0.6","false","0.03","0","false","500","0.2552"
"185","1","0.6","false","0.03","0","false","500","0.2844"
"186","1","0.6","false","0.03","0","false","500","0.268"
"187","1","0.6","false","0.03","0","false","500","0.2612"
"188","1","0.6","false","0.03","0","false","500","0.2764"
"189","1","0.6","false","0.03","0","false","500","0.2848"
"191","1","0.6","false","0.03","0","false","500","0.2756"
"190","1","0.6","false","0.03","0","false","500","0.2844"
"192","1","0.6","false","0.03","0","false","500","0.2912"
"193","1","0.6","false","0.03","0","false","500","0.2868"
"194","1","0.6","false","0.03","0","false","500","0.2768"
"195","1","0.6","false","0.03","0","false","500","0.2776"
"196","1","0.6","false","0.03","0","false","500","0.2836"
"197","1","0.6","false","0.03","0","false","500","0.2692"
"198","1","0.6","false","0.03","0","false","500","0.27"
"199","1","0.6","false","0.03","0","false","500","0.2664"
"200","1","0.6","false","0.03","0","false","500","0.2688"
"201","1","0.6","false","0.04","0","false","500","0.2856"
"202","1","0.6","false","0.04","0","false","500","0.2548"
"203","1","0.6","false","0.04","0","false","500","0.2672"
"204","1","0.6","false","0.04","0","false","500","0.2664"
"205","1","0.6","false","0.04","0","false","500","0.2708"
"206","1","0.6","false","0.04","0","false","500","0.272"
"208","1","0.6","false","0.04","0","false","500","0.2912"
"207","1","0.6","false","0.04","0","false","500","0.2884"
"209","1","0.6","false","0.04","0","false","500","0.2844"
"210","1","0.6","false","0.04","0","false","500","0.2756"
"211","1","0.6","false","0.04","0","false","500","0.2852"
"212","1","0.6","false","0.04","0","false","500","0.2876"
"213","1","0.6","false","0.04","0","false","500","0.2736"
"214","1","0.6","false","0.04","0","false","500","0.2868"
"215","1","0.6","false","0.04","0","false","500","0.2688"
"216","1","0.6","false","0.04","0","false","500","0.2856"
"217","1","0.6","false","0.04","0","false","500","0.284"
"218","1","0.6","false","0.04","0","false","500","0.27"
"219","1","0.6","false","0.04","0","false","500","0.2768"
"220","1","0.6","false","0.04","0","false","500","0.2852"
"221","1","0.6","false","0.04","0","false","500","0.296"
"222","1","0.6","false","0.04","0","false","500","0.2856"
"223","1","0.6","false","0.04","0","false","500","0.2772"
"225","1","0.6","false","0.04","0","false","500","0.2708"
"224","1","0.6","false","0.04","0","false","500","0.2556"
"226","1","0.6","false","0.04","0","false","500","0.2816"
"227","1","0.6","false","0.04","0","false","500","0.2872"
"228","1","0.6","false","0.04","0","false","500","0.2692"
"229","1","0.6","false","0.04","0","false","500","0.284"
"230","1","0.6","false","0.04","0","false","500","0.2752"
"231","1","0.6","false","0.04","0","false","500","0.2676"
"232","1","0.6","false","0.04","0","false","500","0.2784"
"233","1","0.6","false","0.04","0","false","500","0.2804"
"234","1","0.6","false","0.04","0","false","500","0.266"
"235","1","0.6","false","0.04","0","false","500","0.2776"
"236","1","0.6","false","0.04","0","false","500","0.2804"
"237","1","0.6","false","0.04","0","false","500","0.2804"
"238","1","0.6","false","0.04","0","false","500","0.2704"
"239","1","0.6","false","0.04","0","false","500","0.2684"
"240","1","0.6","false","0.04","0","false","500","0.2588"
"242","1","0.6","false","0.04","0","false","500","0.2924"
"241","1","0.6","false","0.04","0","false","500","0.2776"
"243","1","0.6","false","0.04","0","false","500","0.2844"
"244","1","0.6","false","0.04","0","false","500","0.284"
"245","1","0.6","false","0.04","0","false","500","0.2872"
"246","1","0.6","false","0.04","0","false","500","0.2548"
"247","1","0.6","false","0.04","0","false","500","0.2708"
"248","1","0.6","false","0.04","0","false","500","0.2684"
"249","1","0.6","false","0.04","0","false","500","0.2752"
"250","1","0.6","false","0.04","0","false","500","0.2828"
"251","1","0.6","false","0.05","0","false","500","0.2752"
"252","1","0.6","false","0.05","0","false","500","0.2808"
"253","1","0.6","false","0.05","0","false","500","0.2712"
"254","1","0.6","false","0.05","0","false","500","0.2676"
"255","1","0.6","false","0.05","0","false","500","0.2676"
"256","1","0.6","false","0.05","0","false","500","0.2916"
"257","1","0.6","false","0.05","0","false","500","0.274"
"258","1","0.6","false","0.05","0","false","500","0.2868"
"259","1","0.6","false","0.05","0","false","500","0.2732"
"261","1","0.6","false","0.05","0","false","500","0.2864"
"260","1","0.6","false","0.05","0","false","500","0.2892"
"262","1","0.6","false","0.05","0","false","500","0.2796"
"263","1","0.6","false","0.05","0","false","500","0.2648"
"264","1","0.6","false","0.05","0","false","500","0.2544"
"265","1","0.6","false","0.05","0","false","500","0.2716"
"266","1","0.6","false","0.05","0","false","500","0.2792"
"267","1","0.6","false","0.05","0","false","500","0.26"
"268","1","0.6","false","0.05","0","false","500","0.2744"
"269","1","0.6","false","0.05","0","false","500","0.284"
"270","1","0.6","false","0.05","0","false","500","0.268"
"271","1","0.6","false","0.05","0","false","500","0.2848"
"272","1","0.6","false","0.05","0","false","500","0.2648"
"273","1","0.6","false","0.05","0","false","500","0.276"
"274","1","0.6","false","0.05","0","false","500","0.2764"
"275","1","0.6","false","0.05","0","false","500","0.2852"
"276","1","0.6","false","0.05","0","false","500","0.258"
"278","1","0.6","false","0.05","0","false","500","0.2812"
"277","1","0.6","false","0.05","0","false","500","0.2824"
"279","1","0.6","false","0.05","0","false","500","0.2864"
"280","1","0.6","false","0.05","0","false","500","0.2788"
"281","1","0.6","false","0.05","0","false","500","0.2656"
"282","1","0.6","false","0.05","0","false","500","0.2632"
"283","1","0.6","false","0.05","0","false","500","0.2888"
"284","1","0.6","false","0.05","0","false","500","0.284"
"285","1","0.6","false","0.05","0","false","500","0.2864"
"286","1","0.6","false","0.05","0","false","500","0.2784"
"287","1","0.6","false","0.05","0","false","500","0.2848"
"288","1","0.6","false","0.05","0","false","500","0.2772"
"289","1","0.6","false","0.05","0","false","500","0.2652"
"290","1","0.6","false","0.05","0","false","500","0.2664"
"291","1","0.6","false","0.05","0","false","500","0.27"
"292","1","0.6","false","0.05","0","false","500","0.2852"
"293","1","0.6","false","0.05","0","false","500","0.2868"
"295","1","0.6","false","0.05","0","false","500","0.2884"
"294","1","0.6","false","0.05","0","false","500","0.2756"
"296","1","0.6","false","0.05","0","false","500","0.2764"
"297","1","0.6","false","0.05","0","false","500","0.2616"
"298","1","0.6","false","0.05","0","false","500","0.2764"
"299","1","0.6","false","0.05","0","false","500","0.2812"
"300","1","0.6","false","0.05","0","false","500","0.2808"
"301","1","0.6","false","0.06","0","false","500","0.2852"
"302","1","0.6","false","0.06","0","false","500","0.2736"
"303","1","0.6","false","0.06","0","false","500","0.2852"
"304","1","0.6","false","0.06","0","false","500","0.2772"
"305","1","0.6","false","0.06","0","false","500","0.2784"
"306","1","0.6","false","0.06","0","false","500","0.2732"
"307","1","0.6","false","0.06","0","false","500","0.2604"
"308","1","0.6","false","0.06","0","false","500","0.2648"
"309","1","0.6","false","0.06","0","false","500","0.2788"
"310","1","0.6","false","0.06","0","false","500","0.266"
"311","1","0.6","false","0.06","0","false","500","0.2708"
"312","1","0.6","false","0.06","0","false","500","0.2812"
"314","1","0.6","false","0.06","0","false","500","0.2668"
"313","1","0.6","false","0.06","0","false","500","0.286"
"315","1","0.6","false","0.06","0","false","500","0.272"
"316","1","0.6","false","0.06","0","false","500","0.2844"
"317","1","0.6","false","0.06","0","false","500","0.2716"
"318","1","0.6","false","0.06","0","false","500","0.2852"
"319","1","0.6","false","0.06","0","false","500","0.2708"
"320","1","0.6","false","0.06","0","false","500","0.2748"
"321","1","0.6","false","0.06","0","false","500","0.2692"
"322","1","0.6","false","0.06","0","false","500","0.2768"
